Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Springdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2451,
"Waihou-Walton","Total people, usual residence five years ago","Total people, age group","Total people, sex",3999,
"Te Aroha","Total people, usual residence five years ago","Total people, age group","Total people, sex",3906,
"Morrinsville West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2565,
"Morrinsville East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4431,
"Waharoa","Total people, usual residence five years ago","Total people, age group","Total people, sex",465,
"Okauia","Total people, usual residence five years ago","Total people, age group","Total people, sex",1965,
"Te Poi","Total people, usual residence five years ago","Total people, age group","Total people, sex",801,
"Hinuera","Total people, usual residence five years ago","Total people, age group","Total people, sex",909,
"Matamata North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2925,
"Matamata South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4164,
"Sylvester","Total people, usual residence five years ago","Total people, age group","Total people, sex",2052,
"Flagstaff","Total people, usual residence five years ago","Total people, age group","Total people, sex",3846,
"Horsham Downs","Total people, usual residence five years ago","Total people, age group","Total people, sex",4833,
"Rototuna","Total people, usual residence five years ago","Total people, age group","Total people, sex",3192,
"Huntington","Total people, usual residence five years ago","Total people, age group","Total people, sex",7830,
"Newstead","Total people, usual residence five years ago","Total people, age group","Total people, sex",213,
"Peacocke","Total people, usual residence five years ago","Total people, age group","Total people, sex",537,
"Temple View","Total people, usual residence five years ago","Total people, age group","Total people, sex",1182,
"Te Rapa North","Total people, usual residence five years ago","Total people, age group","Total people, sex",147,
"Bryant","Total people, usual residence five years ago","Total people, age group","Total people, sex",5613,
"Pukete","Total people, usual residence five years ago","Total people, age group","Total people, sex",2280,
"Pukete West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2019,
"Te Rapa","Total people, usual residence five years ago","Total people, age group","Total people, sex",336,
"Burbush","Total people, usual residence five years ago","Total people, age group","Total people, sex",168,
"Rotokauri","Total people, usual residence five years ago","Total people, age group","Total people, sex",165,
"Nawton","Total people, usual residence five years ago","Total people, age group","Total people, sex",4500,
"Crawshaw","Total people, usual residence five years ago","Total people, age group","Total people, sex",2793,
"Grandview","Total people, usual residence five years ago","Total people, age group","Total people, sex",3135,
"Brymer","Total people, usual residence five years ago","Total people, age group","Total people, sex",2625,
"Dinsdale North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4101,
"Dinsdale South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3903,
"Beerescourt","Total people, usual residence five years ago","Total people, age group","Total people, sex",3186,
"Maeroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",3639,
"Frankton Junction","Total people, usual residence five years ago","Total people, age group","Total people, sex",1785,
"Swarbrick","Total people, usual residence five years ago","Total people, age group","Total people, sex",4464,
"Hamilton Lake","Total people, usual residence five years ago","Total people, age group","Total people, sex",4056,
"Melville","Total people, usual residence five years ago","Total people, age group","Total people, sex",4728,
"Glenview","Total people, usual residence five years ago","Total people, age group","Total people, sex",5145,
"Queenwood","Total people, usual residence five years ago","Total people, age group","Total people, sex",3045,
"Chedworth","Total people, usual residence five years ago","Total people, age group","Total people, sex",3492,
"Porritt","Total people, usual residence five years ago","Total people, age group","Total people, sex",1737,
"Insoll","Total people, usual residence five years ago","Total people, age group","Total people, sex",2565,
"Fairview Downs","Total people, usual residence five years ago","Total people, age group","Total people, sex",3330,
"Chartwell","Total people, usual residence five years ago","Total people, age group","Total people, sex",2517,
"Hamilton Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2925,
"Clarkin","Total people, usual residence five years ago","Total people, age group","Total people, sex",3048,
"Claudelands","Total people, usual residence five years ago","Total people, age group","Total people, sex",2424,
"Enderley","Total people, usual residence five years ago","Total people, age group","Total people, sex",4182,
"Peachgrove","Total people, usual residence five years ago","Total people, age group","Total people, sex",3276,
"Hamilton East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3852,
"Naylor","Total people, usual residence five years ago","Total people, age group","Total people, sex",4326,
"Bader","Total people, usual residence five years ago","Total people, age group","Total people, sex",4005,
"University","Total people, usual residence five years ago","Total people, age group","Total people, sex",5610,
"Silverdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2595,
"Hillcrest West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3618,
"Riverlea","Total people, usual residence five years ago","Total people, age group","Total people, sex",2583,
"Te Pahu","Total people, usual residence five years ago","Total people, age group","Total people, sex",1269,
