Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Crown Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",3519,
"Lake Pupuke","Total people, usual residence five years ago","Total people, age group","Total people, sex",5196,
"Westlake","Total people, usual residence five years ago","Total people, age group","Total people, sex",5238,
"Takapuna Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3144,
"Hauraki","Total people, usual residence five years ago","Total people, age group","Total people, sex",5847,
"Seacliffe","Total people, usual residence five years ago","Total people, age group","Total people, sex",3468,
"Bayswater","Total people, usual residence five years ago","Total people, age group","Total people, sex",2508,
"Kaipatiki","Total people, usual residence five years ago","Total people, age group","Total people, sex",4563,
"Windy Ridge","Total people, usual residence five years ago","Total people, age group","Total people, sex",3627,
"Glenfield Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",4791,
"Glenfield North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4308,
"Glendhu","Total people, usual residence five years ago","Total people, age group","Total people, sex",5511,
"Witheford","Total people, usual residence five years ago","Total people, age group","Total people, sex",3132,
"Target Road","Total people, usual residence five years ago","Total people, age group","Total people, sex",6651,
"Forrest Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",5739,
"Sunnynook","Total people, usual residence five years ago","Total people, age group","Total people, sex",6711,
"Monarch Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",4857,
"Sunnybrae","Total people, usual residence five years ago","Total people, age group","Total people, sex",3198,
"Albany","Total people, usual residence five years ago","Total people, age group","Total people, sex",3054,
"Fairview","Total people, usual residence five years ago","Total people, age group","Total people, sex",2928,
"Northcross","Total people, usual residence five years ago","Total people, age group","Total people, sex",4506,
"Unsworth Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",5403,
"Pinehill","Total people, usual residence five years ago","Total people, age group","Total people, sex",3951,
"Windsor Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",1905,
"North Harbour West","Total people, usual residence five years ago","Total people, age group","Total people, sex",5202,
"North Harbour East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3774,
"Long Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",885,
"Paremoremo East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2598,
"Greenhithe","Total people, usual residence five years ago","Total people, age group","Total people, sex",8421,
"Narrow Neck","Total people, usual residence five years ago","Total people, age group","Total people, sex",3720,
"Mt Victoria","Total people, usual residence five years ago","Total people, age group","Total people, sex",5340,
"Stanley Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",2187,
"Ocean View","Total people, usual residence five years ago","Total people, age group","Total people, sex",4500,
"Tuff Crater","Total people, usual residence five years ago","Total people, age group","Total people, sex",4395,
"Northcote South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4257,
"Beachhaven North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5439,
"Beachhaven South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4692,
"Birkdale North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3018,
"Birkdale South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4164,
"Kauri Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",3876,
"Chelsea","Total people, usual residence five years ago","Total people, age group","Total people, sex",3834,
"Birkenhead East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4155,
"Henderson North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5850,
"Henderson South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4632,
"Tangutu","Total people, usual residence five years ago","Total people, age group","Total people, sex",3138,
"Woodglen","Total people, usual residence five years ago","Total people, age group","Total people, sex",4569,
"Glen Eden East","Total people, usual residence five years ago","Total people, age group","Total people, sex",7011,
"New Lynn North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2583,
"New Lynn South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2751,
"Lynnmall","Total people, usual residence five years ago","Total people, age group","Total people, sex",2280,
"Fruitvale","Total people, usual residence five years ago","Total people, age group","Total people, sex",4461,
"Rewarewa","Total people, usual residence five years ago","Total people, age group","Total people, sex",4386,
"Glendene North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4431,
"Glendene South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2697,
"Kelston Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",4452,
"Sunnyvale","Total people, usual residence five years ago","Total people, age group","Total people, sex",3963,
"Kaurilands","Total people, usual residence five years ago","Total people, age group","Total people, sex",3159,
"Crum Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",3882,
"Titirangi South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3471,
"Green Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",4155,
"Matipo","Total people, usual residence five years ago","Total people, age group","Total people, sex",3021,
"Durham Green","Total people, usual residence five years ago","Total people, age group","Total people, sex",4545,
"Te Atatu Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",4923,
"Edmonton","Total people, usual residence five years ago","Total people, age group","Total people, sex",3459,
"Wakeling","Total people, usual residence five years ago","Total people, age group","Total people, sex",3873,
"Mcleod","Total people, usual residence five years ago","Total people, age group","Total people, sex",6306,
"Konini","Total people, usual residence five years ago","Total people, age group","Total people, sex",3489,
"Waima","Total people, usual residence five years ago","Total people, age group","Total people, sex",2433,
"Laingholm","Total people, usual residence five years ago","Total people, age group","Total people, sex",2442,
"Armour Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",471,
"Otimai","Total people, usual residence five years ago","Total people, age group","Total people, sex",2979,
"Parrs Park West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2142,
"Parrs Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",1362,
"Oratia West","Total people, usual residence five years ago","Total people, age group","Total people, sex",228,
"Oratia","Total people, usual residence five years ago","Total people, age group","Total people, sex",3432,
"Henderson West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2199,
"Palm Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",2496,
"McLaren Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2955,
"Opanuku","Total people, usual residence five years ago","Total people, age group","Total people, sex",2091,
"Swanson","Total people, usual residence five years ago","Total people, age group","Total people, sex",1263,
"Swanson South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1143,
"Urlich","Total people, usual residence five years ago","Total people, age group","Total people, sex",2310,
"Starling Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2814,
"Ranui Domain","Total people, usual residence five years ago","Total people, age group","Total people, sex",3096,
"Ranui South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3033,
"Sturges North","Total people, usual residence five years ago","Total people, age group","Total people, sex",6975,
"Kingdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",3801,
"Fairdene","Total people, usual residence five years ago","Total people, age group","Total people, sex",4710,
"Whenuapai West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2037,
"Herald","Total people, usual residence five years ago","Total people, age group","Total people, sex",1716,
"Hobsonville East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1059,
"Hobsonville South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2202,
"Westgate","Total people, usual residence five years ago","Total people, age group","Total people, sex",1353,
"Royal Road West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2856,
"West Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",4932,
"Lucken Point","Total people, usual residence five years ago","Total people, age group","Total people, sex",5238,
"Royal Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",6144,
"Massey West","Total people, usual residence five years ago","Total people, age group","Total people, sex",351,
"Birdwood West","Total people, usual residence five years ago","Total people, age group","Total people, sex",507,
"Birdwood East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1458,
"Waimumu North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5742,
"Waimumu South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3993,
"Taupaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",882,
"Waitakere","Total people, usual residence five years ago","Total people, age group","Total people, sex",1968,
"Karekare","Total people, usual residence five years ago","Total people, age group","Total people, sex",2562,
"Freemans Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",3765,
"Auckland Harbourside","Total people, usual residence five years ago","Total people, age group","Total people, sex",4503,
"Auckland Central West","Total people, usual residence five years ago","Total people, age group","Total people, sex",11700,
"Auckland Central East","Total people, usual residence five years ago","Total people, age group","Total people, sex",10104,
"Newton","Total people, usual residence five years ago","Total people, age group","Total people, sex",1644,
"Grafton West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3387,
"Grafton East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1068,
"Roberton","Total people, usual residence five years ago","Total people, age group","Total people, sex",5277,
"Glenavon","Total people, usual residence five years ago","Total people, age group","Total people, sex",6378,
"New Windsor","Total people, usual residence five years ago","Total people, age group","Total people, sex",6468,
"Avondale South","Total people, usual residence five years ago","Total people, age group","Total people, sex",5451,
"Blockhouse Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",6132,
"Rosebank","Total people, usual residence five years ago","Total people, age group","Total people, sex",4557,
"Avondale West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4854,
"Waterview","Total people, usual residence five years ago","Total people, age group","Total people, sex",3330,
"Point Chevalier West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3630,
"Point Chevalier East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4536,
"Point Chevalier South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1647,
"Westmere","Total people, usual residence five years ago","Total people, age group","Total people, sex",5085,
"Herne Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",2760,
"St Marys","Total people, usual residence five years ago","Total people, age group","Total people, sex",2928,
"Ponsonby West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2448,
"Ponsonby East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3321,
"Grey Lynn West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3453,
"Grey Lynn East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3252,
"Surrey Crescent","Total people, usual residence five years ago","Total people, age group","Total people, sex",2754,
"St Lukes North","Total people, usual residence five years ago","Total people, age group","Total people, sex",801,
"Arch Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",1569,
"Eden Terrace","Total people, usual residence five years ago","Total people, age group","Total people, sex",2571,
"Epsom North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3615,
"Epsom Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3786,
"Epsom South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3642,
"Parnell East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2328,
"Parnell West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4767,
"Mt Hobson","Total people, usual residence five years ago","Total people, age group","Total people, sex",1383,
"Remuera South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3903,
"Abbotts Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",4314,
"Remuera West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3351,
"Waitaramoa","Total people, usual residence five years ago","Total people, age group","Total people, sex",3930,
"Orakei South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3444,
"Waiata","Total people, usual residence five years ago","Total people, age group","Total people, sex",4245,
"Meadowbank North","Total people, usual residence five years ago","Total people, age group","Total people, sex",6588,
"Meadowbank South","Total people, usual residence five years ago","Total people, age group","Total people, sex",5118,
"Orakei North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5496,
"Mission Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",5469,
"Kohimarama West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3336,
"Kohimarama East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3756,
"St Heliers","Total people, usual residence five years ago","Total people, age group","Total people, sex",4824,
"Glendowie","Total people, usual residence five years ago","Total people, age group","Total people, sex",4302,
"Glen Innes North","Total people, usual residence five years ago","Total people, age group","Total people, sex",6072,
"Glen Innes West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4440,
"Glen Innes East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2727,
"Point England","Total people, usual residence five years ago","Total people, age group","Total people, sex",4302,
"St Johns","Total people, usual residence five years ago","Total people, age group","Total people, sex",2781,
"Stonefields","Total people, usual residence five years ago","Total people, age group","Total people, sex",2238,
"Newmarket","Total people, usual residence five years ago","Total people, age group","Total people, sex",2961,
"Kingsland","Total people, usual residence five years ago","Total people, age group","Total people, sex",4632,
"St Lukes","Total people, usual residence five years ago","Total people, age group","Total people, sex",4683,
"Sandringham North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3204,
"Sandringham West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4845,
"Sandringham East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3273,
"Mt Albert Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",5673,
"Springleigh","Total people, usual residence five years ago","Total people, age group","Total people, sex",2829,
"Owairaka West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2547,
"Owairaka East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4281,
"Mt Eden North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3225,
"Sherbourne","Total people, usual residence five years ago","Total people, age group","Total people, sex",2775,
"Balmoral","Total people, usual residence five years ago","Total people, age group","Total people, sex",5445,
"Mt Eden East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2670,
"Maungawhau","Total people, usual residence five years ago","Total people, age group","Total people, sex",3915,
"Mt Eden South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4827,
"Three Kings","Total people, usual residence five years ago","Total people, age group","Total people, sex",5433,
"Royal Oak","Total people, usual residence five years ago","Total people, age group","Total people, sex",5592,
"Hillsborough West","Total people, usual residence five years ago","Total people, age group","Total people, sex",7347,
"Hillsborough East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4281,
"Walmsley","Total people, usual residence five years ago","Total people, age group","Total people, sex",3918,
"Wesley","Total people, usual residence five years ago","Total people, age group","Total people, sex",2871,
"Akarana","Total people, usual residence five years ago","Total people, age group","Total people, sex",5571,
"Lynfield North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5703,
"Lynfield South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4218,
"Waikowhai West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3570,
"Waikowhai East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4560,
"Mt St John","Total people, usual residence five years ago","Total people, age group","Total people, sex",4767,
"One Tree Hill Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2664,
"One Tree Hill East","Total people, usual residence five years ago","Total people, age group","Total people, sex",5742,
"Penrose","Total people, usual residence five years ago","Total people, age group","Total people, sex",693,
"Onehunga North West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3765,
"Onehunga North East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3576,
"Onehunga South West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3849,
"Onehunga South East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3543,
"Oranga","Total people, usual residence five years ago","Total people, age group","Total people, sex",4056,
"Te Papapa","Total people, usual residence five years ago","Total people, age group","Total people, sex",3384,
"Ellerslie North","Total people, usual residence five years ago","Total people, age group","Total people, sex",6534,
"Ellerslie South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2133,
"Mt Wellington Domain","Total people, usual residence five years ago","Total people, age group","Total people, sex",1674,
"Mt Wellington West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2958,
"Mt Wellington North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3198,
"Ferndale","Total people, usual residence five years ago","Total people, age group","Total people, sex",4566,
"Hamlin","Total people, usual residence five years ago","Total people, age group","Total people, sex",5250,
"Mt Wellington South","Total people, usual residence five years ago","Total people, age group","Total people, sex",5592,
"Tamaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",4497,
"Panmure Basin","Total people, usual residence five years ago","Total people, age group","Total people, sex",2778,
"Waiheke Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",8238,
"Bays-Waiheke Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",21,
"Tidal-Waiheke Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Islands-Motutapu Rangitoto Rakino","Total people, usual residence five years ago","Total people, age group","Total people, sex",60,
"Great Barrier Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",885,
"Paerata-Cape Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",1086,
"Eden Road-Hill Top","Total people, usual residence five years ago","Total people, age group","Total people, sex",594,
"Buckland","Total people, usual residence five years ago","Total people, age group","Total people, sex",552,
"Patumahoe","Total people, usual residence five years ago","Total people, age group","Total people, sex",2454,
"Kingseat","Total people, usual residence five years ago","Total people, age group","Total people, sex",6216,
"Hunua","Total people, usual residence five years ago","Total people, age group","Total people, sex",4242,
"Paparata","Total people, usual residence five years ago","Total people, age group","Total people, sex",243,
"Awhitu","Total people, usual residence five years ago","Total people, age group","Total people, sex",2499,
"Glenbrook","Total people, usual residence five years ago","Total people, age group","Total people, sex",2145,
"Bombay","Total people, usual residence five years ago","Total people, age group","Total people, sex",795,
"Hingaia","Total people, usual residence five years ago","Total people, age group","Total people, sex",1665,
"Whangapouri Creek","Total people, usual residence five years ago","Total people, age group","Total people, sex",549,
"Bremner","Total people, usual residence five years ago","Total people, age group","Total people, sex",378,
"Drury","Total people, usual residence five years ago","Total people, age group","Total people, sex",3528,
"Runciman","Total people, usual residence five years ago","Total people, age group","Total people, sex",489,
"Mellons Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",3210,
"Cockle Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",4761,
"Howick West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2709,
"Howick Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",6411,
"Otahuhu North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2955,
"Fairburn","Total people, usual residence five years ago","Total people, age group","Total people, sex",3552,
"Otahuhu East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2088,
"Otahuhu West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4929,
"Middlemore","Total people, usual residence five years ago","Total people, age group","Total people, sex",105,
"Papatoetoe West","Total people, usual residence five years ago","Total people, age group","Total people, sex",5886,
"Papatoetoe North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5703,
"Papatoetoe Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",4779,
"Dingwall","Total people, usual residence five years ago","Total people, age group","Total people, sex",3684,
"Papatoetoe East","Total people, usual residence five years ago","Total people, age group","Total people, sex",5574,
"Puhinui North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4470,
"Bucklands and Eastern Beaches","Total people, usual residence five years ago","Total people, age group","Total people, sex",5079,
"Bleakhouse","Total people, usual residence five years ago","Total people, age group","Total people, sex",1866,
"Bucklands Beach South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2661,
"Half Moon Bay Marina","Total people, usual residence five years ago","Total people, age group","Total people, sex",6,
"Pigeon Mountain North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3297,
"Murvale","Total people, usual residence five years ago","Total people, age group","Total people, sex",4017,
"Pigeon Mountain South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1359,
"Highland Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",4200,
"Elsmore Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2961,
"Half Moon Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",3699,
"Pakuranga North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4425,
"Sunnyhills","Total people, usual residence five years ago","Total people, age group","Total people, sex",3348,
"Pakuranga Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3546,
"Edgewater","Total people, usual residence five years ago","Total people, age group","Total people, sex",4377,
"Pakuranga East","Total people, usual residence five years ago","Total people, age group","Total people, sex",5160,
"Howick South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4962,
"Meadowland","Total people, usual residence five years ago","Total people, age group","Total people, sex",4335,
"Golfland","Total people, usual residence five years ago","Total people, age group","Total people, sex",2373,
"Millhouse","Total people, usual residence five years ago","Total people, age group","Total people, sex",4959,
"Burswood","Total people, usual residence five years ago","Total people, age group","Total people, sex",1653,
"Dannemora","Total people, usual residence five years ago","Total people, age group","Total people, sex",3867,
"Kilkenny","Total people, usual residence five years ago","Total people, age group","Total people, sex",2751,
"Highbrook","Total people, usual residence five years ago","Total people, age group","Total people, sex",33,
"Greenmount","Total people, usual residence five years ago","Total people, age group","Total people, sex",4629,
"Point View","Total people, usual residence five years ago","Total people, age group","Total people, sex",5253,
"Baverstock Oaks","Total people, usual residence five years ago","Total people, age group","Total people, sex",6765,
"Mission Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",2529,
"Shelly Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2130,
"Turanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",2121,
"Beachlands-Maraetai","Total people, usual residence five years ago","Total people, age group","Total people, sex",6768,
"Otara West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3012,
"Wymondley","Total people, usual residence five years ago","Total people, age group","Total people, sex",1188,
"Grange","Total people, usual residence five years ago","Total people, age group","Total people, sex",669,
"Otara North","Total people, usual residence five years ago","Total people, age group","Total people, sex",1668,
"Otara East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4425,
"Otara South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3300,
"Ferguson","Total people, usual residence five years ago","Total people, age group","Total people, sex",4047,
"Rongomai","Total people, usual residence five years ago","Total people, age group","Total people, sex",4443,
"Donegal Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",6762,
"Ormiston","Total people, usual residence five years ago","Total people, age group","Total people, sex",5118,
"Clover Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",4170,
"Redoubt North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4857,
"Ardmore","Total people, usual residence five years ago","Total people, age group","Total people, sex",1374,
"Totara Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",6021,
"Randwick Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",3537,
"Hyperion","Total people, usual residence five years ago","Total people, age group","Total people, sex",2238,
"Redoubt East","Total people, usual residence five years ago","Total people, age group","Total people, sex",855,
"Mill Road","Total people, usual residence five years ago","Total people, age group","Total people, sex",870,
"Redoubt South","Total people, usual residence five years ago","Total people, age group","Total people, sex",6471,
"Takanini North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3678,
"Takanini South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4563,
"Takanini West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4629,
"Ambury","Total people, usual residence five years ago","Total people, age group","Total people, sex",3312,
"Mangere Bridge","Total people, usual residence five years ago","Total people, age group","Total people, sex",5949,
"Mangere Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2898,
"Mascot","Total people, usual residence five years ago","Total people, age group","Total people, sex",3825,
"Arahanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",2046,
"Viscount","Total people, usual residence five years ago","Total people, age group","Total people, sex",3978,
"Mangere South","Total people, usual residence five years ago","Total people, age group","Total people, sex",7119,
"Mangere East","Total people, usual residence five years ago","Total people, age group","Total people, sex",5991,
"Aorere","Total people, usual residence five years ago","Total people, age group","Total people, sex",5412,
"Kohuora","Total people, usual residence five years ago","Total people, age group","Total people, sex",6075,
"Mangere Station","Total people, usual residence five years ago","Total people, age group","Total people, sex",159,
"Favona West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2670,
"Favona North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2553,
"Favona South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3291,
"Harania North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3606,
"Harania West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4893,
"Harania East","Total people, usual residence five years ago","Total people, age group","Total people, sex",5043,
"Wiri","Total people, usual residence five years ago","Total people, age group","Total people, sex",3957,
"Puhinui South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2898,
"Manukau Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",642,
"Burbank","Total people, usual residence five years ago","Total people, age group","Total people, sex",3360,
"Homai West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2055,
"Rowandale","Total people, usual residence five years ago","Total people, age group","Total people, sex",3129,
"Homai East","Total people, usual residence five years ago","Total people, age group","Total people, sex",6141,
"Weymouth West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4197,
"Weymouth East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4995,
"Clendon North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2841,
"Clendon South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4953,
"Hillpark","Total people, usual residence five years ago","Total people, age group","Total people, sex",5205,
"Manurewa East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2505,
"Manurewa Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",4452,
"Beaumont","Total people, usual residence five years ago","Total people, age group","Total people, sex",2448,
"Leabank","Total people, usual residence five years ago","Total people, age group","Total people, sex",5280,
"Wattle Farm","Total people, usual residence five years ago","Total people, age group","Total people, sex",7398,
"Clevedon","Total people, usual residence five years ago","Total people, age group","Total people, sex",2580,
"Kawakawa-Orere","Total people, usual residence five years ago","Total people, age group","Total people, sex",1038,
"Papakura Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2094,
"Papakura North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2511,
"Papakura South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1668,
"Opaheke","Total people, usual residence five years ago","Total people, age group","Total people, sex",2592,
"Rosehill","Total people, usual residence five years ago","Total people, age group","Total people, sex",3171,
"Pahurehure","Total people, usual residence five years ago","Total people, age group","Total people, sex",3051,
"Papakura East","Total people, usual residence five years ago","Total people, age group","Total people, sex",6027,
"Massey Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",1902,
"Papakura North East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4206,
"Red Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",2475,
"Pukekohe North","Total people, usual residence five years ago","Total people, age group","Total people, sex",8955,
"Pukekohe West","Total people, usual residence five years ago","Total people, age group","Total people, sex",6942,
"Bledisloe Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2931,
"Waiuku West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3102,
"Waiuku East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3501,
"South Waiuku","Total people, usual residence five years ago","Total people, age group","Total people, sex",1599,
"Mokohinau Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Little Barrier Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Kaikoura and Rangiahua Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",42,
"Inlet-Port Fitzroy","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Cape Barrier","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Rakitu Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Browns Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Aiguilles Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Kaipara Harbour South","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Kaipara River","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Takapuna Head","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Hobson Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
